2582,i,2018,2
1652,s,2018,2
2106,r,2018,2
2631,s,2018,3
1450,r,2018,3
270,h,2018,4
1506,f,2018,2
1378,z,2018,3
1245,r,2018,4
41,u,2018,2
882,e,2018,1
1181,q,2018,4
1092,h,2018,3
1398,x,2018,3
746,u,2018,3
2494,m,2018,1
71,d,2018,1
2252,d,2018,4
2077,s,2018,4
2337,s,2018,4
794,x,2018,4
1343,z,2018,1
2113,k,2018,2
2446,r,2018,3
2070,k,2018,4
177,k,2018,1
2563,t,2018,4
2333,n,2018,2
1672,g,2018,4
1661,i,2018,2
2022,g,2018,3
2301,w,2018,1
1572,o,2018,2
905,e,2018,4
201,p,2018,4
2032,a,2018,4
311,w,2018,1
1435,f,2018,1
1915,c,2018,3
1044,y,2018,3
2623,q,2018,2
1003,p,2018,3
2276,c,2018,3
2179,i,2018,1
312,o,2018,4
2152,s,2018,2
1480,j,2018,1
147,o,2018,2
269,k,2018,1
2023,e,2018,3
1394,q,2018,2
1648,o,2018,2
984,h,2018,2
45,g,2018,3
1468,f,2018,3
1286,g,2018,2
152,v,2018,1
845,u,2018,1
1055,i,2018,3
2251,g,2018,3
1661,s,2018,1
2181,l,2018,2
2587,b,2018,4
1993,d,2018,3
1050,d,2018,4
931,p,2018,4
84,h,2018,1
1418,x,2018,3
2414,g,2018,3
1757,o,2018,3
1583,m,2018,3
1252,v,2018,4
168,w,2018,3
157,s,2018,3
1856,y,2018,1
1021,x,2018,4
350,b,2018,1
2498,u,2018,1
1338,e,2018,1
2073,h,2018,4
1193,q,2018,2
1812,t,2018,3
2106,j,2018,2
902,h,2018,1
112,g,2018,4
2311,w,2018,1
136,s,2018,2
1585,m,2018,3
862,t,2018,1
2280,u,2018,4
395,y,2018,4
1322,c,2018,1
1626,l,2018,3
661,j,2018,4
1000,e,2018,4
444,z,2018,3
1467,o,2018,3
2630,z,2018,4
2599,q,2018,1
255,f,2018,3
189,u,2018,4
2385,t,2018,2
363,d,2018,1
1486,i,2018,1
2059,s,2018,3
219,t,2018,1
2284,t,2018,2
621,u,2018,4
1762,k,2018,1
386,e,2018,2
842,k,2018,4
